Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,all,46024354,1.0
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,3+,11610606,0.25
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,1,14192140,0.31
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,2,20204146,0.44
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,3,9798949,0.21
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,4,1811656,0.04
Oct 2024,AFG,46024352,current,2024-09-01,2024-10-31,5,0,0
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,all,46024354,1.0
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,3+,14764724,0.32
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,1,12534324,0.27
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,2,18725306,0.41
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,3,11642486,0.25
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,4,3122238,0.07
Oct 2024,AFG,46024352,first projection,2024-11-01,2025-03-31,5,0,0
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,all,2667790,1.0
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,3+,1315532,0.49
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,1,531260,0.2
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,2,820998,0.31
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,3,1008245,0.38
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,4,307288,0.12
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,5,0,0
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,all,2750124,1.0
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,3+,1583996,0.58
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,1,482825,0.18
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,2,683303,0.25
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,3,1167337,0.42
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,4,416660,0.15
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,5,0,0
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,all,12288863,1.0
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,3+,1880764,0.15
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,1,4076967,0.33
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,2,6331132,0.52
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,3,1702024,0.14
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,4,178740,0.01
Oct 2024,BDI,13097396,current,2024-11-01,2024-12-31,5,0,0
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,all,12288863,1.0
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,3+,1212374,0.1
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,1,5151281,0.42
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,2,5925208,0.48
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,3,1212374,0.1
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,4,0,0
Oct 2024,BDI,13097396,first projection,2025-01-01,2025-03-31,5,0,0
Nov 2024,BEN,12915002,current,2024-10-01,2024-12-31,all,12915000,1.0
Nov 2024,BEN,12915002,current,2024-10-01,2024-12-31,3+,583765,0.05
Nov 2024,BEN,12915002,current,2024-10-01,2024-12-31,1,10214712,0.79
Nov 2024,BEN,12915002,current,2024-10-01,2024-12-31,2,2116522,0.16
