Date of analysis,Country,Total country population,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Oct 2024,AFG,46024352,2024-09-01,2024-10-31,46024354,11610606,0.25,14192140,0.31,20204146,0.44,9798949,0.21,1811656,0.04,0,0,2024-11-01,2025-03-31,46024354,14764724,0.32,12534324,0.27,18725306,0.41,11642486,0.25,3122238,0.07,0,0,,,,,,,,,,,,,,,
Jun 2021,AGO,32097671,2021-06-01,2021-09-30,2667790,1315532,0.49,531260,0.2,820998,0.31,1008245,0.38,307288,0.12,0,0,2021-10-01,2022-03-31,2750124,1583996,0.58,482825,0.18,683303,0.25,1167337,0.42,416660,0.15,0,0,,,,,,,,,,,,,,,
Oct 2024,BDI,13097396,2024-11-01,2024-12-31,12288863,1880764,0.15,4076967,0.33,6331132,0.52,1702024,0.14,178740,0.01,0,0,2025-01-01,2025-03-31,12288863,1212374,0.1,5151281,0.42,5925208,0.48,1212374,0.1,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,2024-10-01,2024-12-31,12915000,583765,0.05,10214712,0.79,2116522,0.16,583765,0.05,0,0,0,0,2025-06-01,2025-08-31,12915000,531573,0.04,10323892,0.8,2059534,0.16,531573,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,2024-03-01,2024-05-31,22969083,1749437,0.07,17064478,0.74,4155168,0.18,1673313,0.07,76124,0,0,0,2024-06-01,2024-08-31,22969083,2734196,0.12,14992187,0.65,5242700,0.23,2310858,0.1,423338,0.02,0,0,,,,,,,,,,,,,,,
Feb 2024,BGD,165158616,2024-02-01,2024-03-31,74209497,14581885,0.2,31742270,0.42,27885342,0.38,14254138,0.19,327747,0.01,0,0,2024-04-01,2024-10-31,74283840,16530681,0.22,29251031,0.39,28502128,0.38,15745272,0.21,785409,0.01,0,0,,,,,,,,,,,,,,,
Oct 2024,CAF,6470307,2024-09-01,2025-03-31,6470313,1970683,0.31,1746917,0.27,2752713,0.43,1663412,0.26,307271,0.05,0,0,2025-04-01,2025-08-31,6470313,2250572,0.35,1519494,0.23,2700247,0.42,1820048,0.28,430524,0.07,0,0,,,,,,,,,,,,,,,
Nov 2024,CIV,24601202,2024-10-01,2024-12-31,24601202,693659,0.03,20264094,0.82,3643450,0.15,693659,0.03,0,0,0,0,2025-06-01,2025-08-31,24601202,928820,0.04,19291771,0.78,4380610,0.18,928820,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,CMR,28456069,2024-10-01,2024-12-31,28456069,3080145,0.11,19507779,0.69,5868144,0.21,2814832,0.1,265314,0.01,0,0,2025-06-01,2025-08-31,28456069,2745751,0.1,20159584,0.71,5550733,0.2,2514748,0.09,231003,0.01,0,0,,,,,,,,,,,,,,,
